Prefix,Question,Perturbed,Expected_answer
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Are you likely to find a crucifix in Karachi?,Are you likely to find quickly a crucifix in Karachi ?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge completely?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Are Sable's a good choice of Mustelidae to weigh down a scale?,Are Sable's a good perfect choice of Mustelidae to weigh down a scale?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Romeo and Juliet an unusual title to teach high schoolers?,Is Romeo and Juliet an unusual weird title to teach high schoolers?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do Windows or Android smartphones run newer versions of Linux?,Do Windows or Android smartphones run much newer versions of Linux?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Did the Eastern Orthodox Church and the Byzantine Empire ever use specifically the same calendar?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be really difficult to host Stanley Cup Finals at Rock in Rio?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Is Mickey Mouse hypothetically unlikely impossible to make a purchase at Zazzle?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be common to find a penguin in Miami?,Would it be common to find a penguin in Miami quickly?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did Immanuel Kant ever meet the 14th president of the United States?,Did Immanuel Kant ever specifically meet the 14th president of the United States?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is the current Chief Justice of the United States forbidden from buying alcohol?,Is the current Chief Justice of the United States forbidden fully from buying alcohol?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would most school children in New York be wearing jackets on groundhog day?,Would most young school children in New York be wearing jackets on groundhog day?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Could new modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Did US President during Spanish-American War similarly suffer similar demise to Abraham Lincoln?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it safe to use Ammonia with Clorox?,Is it really safe to use Ammonia with Clorox?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can the Communist Party of the Soviet Union get a perfect all kill?,Can the Communist Party of the Soviet Union get a completely perfect all kill?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can Centurylink max internet plan upload 1000GB in a fortnight?,Can Centurylink max internet plan upload successfully 1000GB in a fortnight?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,Did Solomon make up completely bigger percentage of Islamic prophets than Kings of Judah?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would East India Company prefer China's modern trade?,Would East India Company preferably prefer China's modern trade?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will a celibate cleric likely suffer a stoning in Somalia?,"In Somalia, will a celibate cleric likely suffer a harsh stoning?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could one Amazon share ever buy twenty year Netflix subscription?,Could one single Amazon share ever buy twenty year Netflix subscription?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would an adherent of traditional Zoroastrianism consult the Quran for religious guidance?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would many typical meals heavy in brussels sprouts benefit someone on Coumadin?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Would the fastest tortoise win a race against a Chicago ""L""?","Would the fastest speedy tortoise win a race against a Chicago ""L""?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Does Orange County, California require airplanes to be quiet?","Does Orange County, California require airplanes to be really quiet?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails a good guest for students in earliest school grade to take Iowa tests?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can an anchovy born in 2020 survive 25th US census?,Can an anchovy born in 2020 actually survive 25th US census?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does USA fail separation of church and state in multiple ways?,Does USA truly fail separation of church and state in multiple ways?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normal to see a red panda in Shanghai outside of a zoo?,Is it normal to see a red panda in Shanghai even outside of a zoo?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will bumblebees derail the United States presidential election?,Will bumblebees really derail the United States presidential election?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do members of the Supreme Court of the United States have longer terms than most senators?,Do members of the Supreme Court of the United States generally have longer terms than most senators?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would it be physically impossible to seat every Chief Justice of the United States on a Boeing 737?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would a vegetarian be able to eat something at Chick-fil-A?,Would a vegetarian still be able to eat something at Chick-fil-A?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can you see live harbor seals in Washington DC?,Can you see live wild harbor seals in Washington DC?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does the Prime Minister of the United Kingdom have poor job security?,Does the Prime Minister of the United Kingdom currently have poor job security?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the United States Military Academy reject an applicant with multiple sclerosis?,Would the United States Military Academy likely reject an applicant with multiple sclerosis?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be unusual to see frost in September in Texas?,Would it be unusually unusual to see frost in September in Texas?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If you have a serious injury in Bangladesh, would you probably really dial a Fibonacci number?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it hard to get a BLT in Casablanca?,Is it hard to easily get a BLT in Casablanca?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would the yearly precipitation on Snowdon totally submerge an upright bowling pin?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it difficult to conduct astrophotography in the summer in Sweden?,Is it really difficult to conduct astrophotography in the summer in Sweden?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normally unnecessary to wear a coat in Hollywood in July?,Is it normally entirely unnecessary to wear a coat in Hollywood in July?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an ancient visitor to Persia probably consume crocus threads?,Would an ancient visitor to Persia probably still consume crocus threads?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can black swan's formation type help spell longest word in Dictionary?,Can black swan's formation type really help spell longest word in Dictionary?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Was song of Roland protagonist friendly with group that had sagas?,Was song of Roland protagonist truly friendly with group that had sagas?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it more expensive to run for President of India than to buy a new iPhone 11?,Is it more financially expensive to run for President of India than to buy a new iPhone 11?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is it really hard for Rahul Dravid to order food at a restaurant in Aurangabad?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Autumn a good time to collect bear pelts in US?,Is Autumn a good nice time to collect bear pelts in US?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does Rupert Murdoch's alma mater have more history than the USA?,Does Rupert Murdoch's alma mater really have more history than the USA?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Is a paleo dieter really unlikely to color beverages green for St. Patrick's Day?,Yes
